nen3610id,code,syntax_aantaldoorstroomopeningen,syntax_afvoercoefficient,syntax_bochtenknikverlies,syntax_breedteopening,syntax_categorie,syntax_code,syntax_created_date,syntax_detailniveaugeometrie,syntax_drempelpeil,syntax_featuretype,syntax_globalid,syntax_hoogtebinnenonderkantbene,syntax_hoogtebinnenonderkantbov,syntax_hoogteopening,syntax_hyperlink,syntax_indicatiewaterkerend,syntax_indpeilregulpeilscheidend,syntax_intreeverlies,syntax_kerendehoogte,syntax_last_edited_date,syntax_lengte,syntax_lvpublicatiedatum,syntax_metadataid,syntax_naam,syntax_namespace,syntax_nen3610id,syntax_objectid,syntax_ontwerpbuitenwaterstand,syntax_openingspeil,syntax_openkeerpeil,syntax_opmerking,syntax_ruwheid,syntax_signaleringspeil,syntax_sluitpeil,syntax_soortmateriaal,syntax_statusleggerwatersysteem,syntax_statusleggerwaterveiligheid,syntax_statusobject,syntax_typekruising,syntax_typeruwheid,syntax_typewaterkerendeconstructie,syntax_uittreeverlies,syntax_vormkoker,syntax_waterkeringid,syntax_geometry,syntax_oordeel,general_000_maaiveldhoogte,general_001_delta_h,general_002_verval,general_003_slope,validate_000_bok_boven_plausibel,validate_001_bok_beneden_plausibel,validate_002_bok_boven_lt_maaiveld,validate_003_bok_beneden_lt_maaiveld,validate_004_lengte_duiker_groter_dan_1m,validate_005_breedte_eq_hoogte,validate_006_op_hydroobject,validate_007_verhang_between_2cmpm_en_5cm,validate_008_verval_lt_50cm,validate_009_geen_overlap,validate_010_bok_bov_boven_bodem,validate_011_bok_ben_boven_bodem,rating,valid,invalid,invalid_critical,invalid_non_critical,ignored,summary,tags_assigned,tags_invalid,date_check
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-JD-13219,KDU-JD-13219,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 4),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),,,,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",None -> NULL (fouten: 4),,,False,325.0,,,,,,,,True,,True,,,True,,,10,4;6;9,,,,0;1;2;3;5;7;8;10;11,,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-JD-7487,KDU-JD-7487,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 4),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),,,,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",None -> NULL (fouten: 4),,,False,325.0,,,,,,,,True,,True,,,True,,,10,4;6;9,,,,0;1;2;3;5;7;8;10;11,,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-JD-7413,KDU-JD-7413,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 4),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),,,,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",None -> NULL (fouten: 4),,,False,325.0,,,,,,,,True,,True,,,True,,,10,4;6;9,,,,0;1;2;3;5;7;8;10;11,,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KSY-E-284,KSY-E-284,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),,,nee -> NULL (fouten: 6),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,sifon -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",rond -> NULL (fouten: 6),,,False,325.0,,,,,,,,True,,True,,,True,,,10,4;6;9,,,,0;1;2;3;5;7;8;10;11,,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-S-2823,KDU-S-2823,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,,,,,nee -> NULL (fouten: 6),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",rond -> NULL (fouten: 6),,,False,325.0,0.0,0.0,0.0,True,True,True,True,True,,True,True,True,True,False,False,1,0;1;2;3;4;6;7;8;9,10;11,10;11,,5,bok bovenstrooms beneden bodem;bok bendenstrooms beneden bodem,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-JD-8454,KDU-JD-8454,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 4),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),,,,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",None -> NULL (fouten: 4),,,False,325.0,,,,,,,,True,,True,,,True,,,10,4;6;9,,,,0;1;2;3;5;7;8;10;11,,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-JD-12841,KDU-JD-12841,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 4),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),,,,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",None -> NULL (fouten: 4),,,False,325.0,,,,,,,,True,,True,,,True,,,10,4;6;9,,,,0;1;2;3;5;7;8;10;11,,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-JD-8723,KDU-JD-8723,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 4),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),,,,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",None -> NULL (fouten: 4),,,False,325.0,,,,,,,,True,,True,,,True,,,10,4;6;9,,,,0;1;2;3;5;7;8;10;11,,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-CB-3522,KDU-CB-3522,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,,,,,nee -> NULL (fouten: 6),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),pvc -> NULL (fouten: 6),,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",rond -> NULL (fouten: 6),,,False,325.0,0.0,0.0,0.0,True,True,True,True,True,,True,True,True,True,False,False,1,0;1;2;3;4;6;7;8;9,10;11,10;11,,5,bok bovenstrooms beneden bodem;bok bendenstrooms beneden bodem,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-JD-4701,KDU-JD-4701,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 4),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),,,,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",None -> NULL (fouten: 4),,,False,325.0,,,,,,,,True,,True,,,True,,,10,4;6;9,,,,0;1;2;3;5;7;8;10;11,,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-JF-127,KDU-JF-127,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),,,,,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",rond -> NULL (fouten: 6),,,False,325.0,,,,,,,,True,,True,,,True,,,10,4;6;9,,,,0;1;2;3;5;7;8;10;11,,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-JD-5225,KDU-JD-5225,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 4),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),,,,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",None -> NULL (fouten: 4),,,False,325.0,,,,,,,,True,,True,,,True,,,10,4;6;9,,,,0;1;2;3;5;7;8;10;11,,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-W-1737,KDU-W-1737,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,,,,,nee -> NULL (fouten: 6),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),pvc -> NULL (fouten: 6),,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",rond -> NULL (fouten: 6),,,False,325.0,0.0,0.0,0.0,True,True,True,True,True,,True,True,True,True,False,False,1,0;1;2;3;4;6;7;8;9,10;11,10;11,,5,bok bovenstrooms beneden bodem;bok bendenstrooms beneden bodem,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-M-3341,KDU-M-3341,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,,,,,nee -> NULL (fouten: 6),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),pvc -> NULL (fouten: 6),,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",rond -> NULL (fouten: 6),,,False,325.0,0.0,0.0,0.0,True,True,True,True,True,,True,True,True,True,False,False,1,0;1;2;3;4;6;7;8;9,10;11,10;11,,5,bok bovenstrooms beneden bodem;bok bendenstrooms beneden bodem,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-JD-456,KDU-JD-456,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 4),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),,,,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",None -> NULL (fouten: 4),,,False,325.0,,,,,,,,True,,True,,,True,,,10,4;6;9,,,,0;1;2;3;5;7;8;10;11,,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-JD-7047,KDU-JD-7047,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 4),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),,,,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",None -> NULL (fouten: 4),,,False,325.0,,,,,,,,True,,True,,,True,,,10,4;6;9,,,,0;1;2;3;5;7;8;10;11,,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-JD-5283,KDU-JD-5283,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 4),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),,,,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",None -> NULL (fouten: 4),,,False,325.0,,,,,,,,True,,True,,,True,,,10,4;6;9,,,,0;1;2;3;5;7;8;10;11,,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-CB-3523,KDU-CB-3523,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,,,,,nee -> NULL (fouten: 6),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),pvc -> NULL (fouten: 6),,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",rond -> NULL (fouten: 6),,,False,325.0,0.0,0.0,0.0,True,True,True,True,True,,True,True,True,True,False,False,1,0;1;2;3;4;6;7;8;9,10;11,10;11,,5,bok bovenstrooms beneden bodem;bok bendenstrooms beneden bodem,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-J-664,KDU-J-664,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,,,,,,,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",rond -> NULL (fouten: 6),,,False,325.0,0.0,0.0,0.0,True,True,True,True,True,,True,True,True,True,False,False,1,0;1;2;3;4;6;7;8;9,10;11,10;11,,5,bok bovenstrooms beneden bodem;bok bendenstrooms beneden bodem,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-J-663,KDU-J-663,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,,,,,,,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",rond -> NULL (fouten: 6),,,False,325.0,0.0,0.0,0.0,True,True,True,True,True,,True,True,True,True,False,False,1,0;1;2;3;4;6;7;8;9,10;11,10;11,,5,bok bovenstrooms beneden bodem;bok bendenstrooms beneden bodem,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-JD-10537,KDU-JD-10537,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 4),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),,,,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",None -> NULL (fouten: 4),,,False,325.0,,,,,,,,True,,True,,,True,,,10,4;6;9,,,,0;1;2;3;5;7;8;10;11,,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-JD-740,KDU-JD-740,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 4),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),,,,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",None -> NULL (fouten: 4),,,False,325.0,,,,,,,,True,,True,,,True,,,10,4;6;9,,,,0;1;2;3;5;7;8;10;11,,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-J-662,KDU-J-662,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,,,,,,,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",rond -> NULL (fouten: 6),,,False,325.0,0.0,0.0,0.0,True,True,True,True,True,,True,True,True,True,False,False,1,0;1;2;3;4;6;7;8;9,10;11,10;11,,5,bok bovenstrooms beneden bodem;bok bendenstrooms beneden bodem,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-JD-4223,KDU-JD-4223,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 4),,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),,,,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",None -> NULL (fouten: 4),,,False,325.0,,,,,,,,True,,True,,,True,,,10,4;6;9,,,,0;1;2;3;5;7;8;10;11,,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-J-661,KDU-J-661,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,,,,,,,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",rond -> NULL (fouten: 6),,,False,325.0,0.0,0.0,0.0,True,True,True,True,True,,True,True,True,True,False,False,1,0;1;2;3;4;6;7;8;9,10;11,10;11,,5,bok bovenstrooms beneden bodem;bok bendenstrooms beneden bodem,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-PM-11,KDU-PM-11,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,,,,,nee -> NULL (fouten: 6),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",rond -> NULL (fouten: 6),,,False,325.0,0.0,0.0,0.0,True,True,True,True,True,,True,True,True,True,False,False,1,0;1;2;3;4;6;7;8;9,10;11,10;11,,5,bok bovenstrooms beneden bodem;bok bendenstrooms beneden bodem,,,2025-06-06T08:52:12.186353
NL.WBHCODE.12.DUIKERSIFONHEVEL.KDU-CB-3525,KDU-CB-3525,,nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,,,NaT -> NULL (fouten: 1),<NA> -> NULL (fouten: 1),,,,,,,,nee -> NULL (fouten: 6),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),NaT -> NULL (fouten: 1),,,,,,,(fouten: 2),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),,"nan -> NULL (fouten: 1,4)",nan -> NULL (fouten: 1),nan -> NULL (fouten: 1),pvc -> NULL (fouten: 6),,,,duiker -> NULL (fouten: 6),(fouten: 4),,"nan -> NULL (fouten: 1,4)",rond -> NULL (fouten: 6),,,False,325.0,0.0,0.0,0.0,True,True,True,True,True,,True,True,True,True,False,False,1,0;1;2;3;4;6;7;8;9,10;11,10;11,,5,bok bovenstrooms beneden bodem;bok bendenstrooms beneden bodem,,,2025-06-06T08:52:12.186353
